,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
345,sarangani,100,PH,1564418426,73,5.4,125.46,300.49,1.15
346,saint-pierre,0,FR,1564418426,28,48.95,4.24,301.15,3.1
347,lagos,75,NG,1564418353,78,6.46,3.39,300.15,2.6
348,ust-karsk,7,RU,1564418427,98,52.71,118.82,286.59,2.13
349,iberia,0,PE,1564418427,32,-11.41,-69.49,306.09,1.24
350,vidalia,20,US,1564418427,66,31.57,-91.43,303.15,2.6
351,hofn,0,IS,1564418427,68,64.25,-15.21,292.15,3.1
352,haukipudas,75,FI,1564418427,55,65.17,25.5,285.93,5.1
353,padang,36,ID,1564418428,79,-0.92,100.36,300.89,5.45
354,ostrovnoy,100,RU,1564418428,93,68.05,39.51,277.59,11.79
355,anori,43,BR,1564418428,46,-3.74,-61.66,305.49,0.47
356,mananjary,83,MG,1564418428,67,-19.16,46.8,292.59,2.48
357,chake chake,3,TZ,1564418428,80,-5.25,39.77,298.29,9.95
358,pasni,90,PK,1564418429,70,25.26,63.48,301.99,2.78
359,saldanha,0,PT,1564418429,37,41.42,-6.55,294.59,7.58
360,pran buri,100,TH,1564418429,29,12.39,99.9,302.04,1.96
361,arlit,100,NE,1564418429,18,18.74,7.39,312.99,2.97
362,conceicao do araguaia,50,BR,1564418340,19,-8.26,-49.26,312.59,0.26
363,komsomolskiy,93,RU,1564418429,62,67.55,63.78,285.79,9.54
364,puerto leguizamo,10,CO,1564418430,45,-0.19,-74.78,304.39,1.67
365,ahipara,0,NZ,1564418430,80,-35.17,173.16,288.19,9.03
366,dwarka,20,IN,1564418430,79,28.58,77.04,304.26,2.1
367,venice,1,US,1564418430,62,27.1,-82.45,307.04,4.6
368,alofi,75,NU,1564418431,94,-19.06,-169.92,297.15,2.1
369,rio gallegos,75,AR,1564418431,86,-51.62,-69.22,277.15,2.6
370,cascais,20,PT,1564418431,53,38.7,-9.42,298.15,11.3
